Candy List
Name,Price,Art1,Art2,Art3,Art4,Art5
empty vending machine slot,0,       ,       ,  ___  , / __\ , \__// 
Whoppers,1.75, ===== , |   | , |___| , /=__\ , \__// 
Trail Mix,2.50,..--''`, \   | , /___| ,./.__\ , \__// 
Twizzlers,0.75,|~~``| ,|    | ,| ___| ,|/.__\ , \__// 
Almond Joy,1.25,=.._   ,\/  \  , \___\ , / __\\, \__//-
Twix,0.50,  +++  ,  | |  ,  |_|  , /|_|\ , \|_// 
Bag of chips,1.75, //////, \    \, /___ /,// __\\,-\__// 
Packet of M&Ms,0.90,..--   ,\   \  , \___\ , / __\ , \__// 
Cookie,0.75,______ ,|    | ,: ___: ,|/ __\ , \__// 
Chocolate Bar, 1.00,.--._. ,|    | ,| ___| ,// __\ ,-\__// 
